源视频文件名,总样本数,总错误数,总错误率(%),饱腹_总数,饱腹_错误数,饱腹_错误率(%),中性_总数,中性_错误数,中性_错误率(%),微饿_总数,微饿_错误数,微饿_错误率(%),饥饿_总数,饥饿_错误数,饥饿_错误率(%)
2024-11-13 134739,119,83,69.75,30,30,100.00,30,30,100.00,29,7,24.14,30,16,53.33
张祖善20240905（13:57:31）,95,66,69.47,30,30,100.00,10,10,100.00,25,11,44.00,30,15,50.00
2025-01-06 110457,95,66,69.47,30,6,20.00,30,25,83.33,5,5,100.00,30,30,100.00
2024-12-30 135134,103,71,68.93,30,4,13.33,30,25,83.33,13,13,100.00,30,29,96.67
2025-01-13 134726,99,68,68.69,30,24,80.00,30,5,16.67,9,9,100.00,30,30,100.00
2025-01-10 111030,104,71,68.27,30,22,73.33,30,6,20.00,14,14,100.00,30,29,96.67
2024-12-09 110631,88,60,68.18,30,26,86.67,8,8,100.00,20,15,75.00,30,11,36.67
2025-01-22 082526,116,79,68.10,30,22,73.33,30,3,10.00,26,25,96.15,30,29,96.67
2025-01-16 102653,111,75,67.57,30,20,66.67,30,5,16.67,21,20,95.24,30,30,100.00
2025-01-10 110622,104,70,67.31,30,22,73.33,30,4,13.33,14,14,100.00,30,30,100.00
2024-12-20 110552,97,65,67.01,30,28,93.33,14,14,100.00,23,17,73.91,30,6,20.00
李鑫鑫之子240729（09:05:06）,110,73,66.36,30,29,96.67,20,20,100.00,30,7,23.33,30,17,56.67
2024-11-15 135858,86,55,63.95,26,26,100.00,0,0,0.00,30,8,26.67,30,21,70.00
2024-11-25 140700,119,71,59.66,30,30,100.00,29,29,100.00,30,7,23.33,30,5,16.67
2024-12-24 105557,118,68,57.63,30,17,56.67,28,22,78.57,30,22,73.33,30,7,23.33
总计,7412,5497,74.16,2021,1496,74.02,1798,1327,73.80,1553,1237,79.65,2040,1437,70.44
